common_species_name,genus,species,scientific_name,classification,moisture,Specific_gravity,modulus_of_rupture,modulus_of_elasticity,work_to_maximum_load,impact_bending,compression_parallel_to_grain,compression_perpendicular_to_grain,shear_parallel_to_grain,tension_perpendicular_to_grain,strength
"Pine, Shortleaf",Pinus,echinata,Pinus echinata,Softwood,12%,0.51,13100,1.75,11,33,7270,820,1390,470,690
"Pine, Slash",Pinus,elliottii,Pinus elliottii,Softwood,Green,0.54,8700,1.53,9.6,,3820,530,960,,
"Pine, Slash",Pinus,elliottii,Pinus elliottii,Softwood,12%,0.59,16300,1.98,13.2,,8140,1020,1680,,
"Pine, Spruce",Pinus,glabra,Pinus glabra,Softwood,Green,0.41,6000,1,,,2840,280,900,,450
"Pine, Spruce",Pinus,glabra,Pinus glabra,Softwood,12%,0.44,10400,1.23,,,5650,730,1490,,660
"Pine, Sugar",Pinus,lambertiana,Pinus lambertiana,Softwood,Green,0.34,4900,1.03,5.4,17,2460,210,720,270,270
"Pine, Sugar",Pinus,lambertiana,Pinus lambertiana,Softwood,12%,0.36,8200,1.19,5.5,18,4460,500,1130,350,380
"Pine, Virginia",Pinus,virginiana,Pinus virginiana,Softwood,Green,0.45,7300,1.22,10.9,34,3420,390,890,400,540
"Pine, Virginia",Pinus,virginiana,Pinus virginiana,Softwood,12%,0.48,13000,1.52,13.7,32,6710,910,1350,380,740
"Pine, Western White",Pinus,monticola,Pinus monticola,Softwood,Green,0.35,4700,1.19,5,19,2430,190,680,260,260
"Pine, Western White",Pinus,monticola,Pinus monticola,Softwood,12%,0.38,9700,1.46,8.8,23,5040,470,1040,,420
"Redwood, Old-Growth",Sequoia,sempervirens,Sequoia sempervirens,Softwood,Green,0.38,7500,1.18,7.4,21,4200,420,800,260,410
"Redwood, Old-Growth",Sequoia,sempervirens,Sequoia sempervirens,Softwood,12%,0.4,10000,1.34,6.9,19,6150,700,940,240,480
"Redwood, Young-Growth",Sequoia,sempervirens,Sequoia sempervirens,Softwood,Green,0.34,5900,0.96,5.7,16,3110,270,890,300,350
"Redwood, Young-Growth",Sequoia,sempervirens,Sequoia sempervirens,Softwood,12%,0.35,7900,1.1,5.2,15,5220,520,1110,250,420
"Spruce, Black",Picea,mariana,Picea mariana,Softwood,Green,0.38,6100,1.38,7.4,24,2840,240,740,100,340
"Spruce, Black",Picea,mariana,Picea mariana,Softwood,12%,0.42,10800,1.61,10.5,23,5960,550,1230,,530
"Spruce, Engelmann",Picea,engelmannii,Picea engelmannii,Softwood,Green,0.33,4700,1.03,5.1,16,2180,200,640,240,260
"Spruce, Engelmann",Picea,engelmannii,Picea engelmannii,Softwood,12%,0.35,9300,1.3,6.4,18,4480,410,1200,350,390
"Spruce, Red",Picea,rubens,Picea rubens,Softwood,Green,0.37,6000,1.33,6.9,18,2720,260,750,220,340
"Spruce, Red",Picea,rubens,Picea rubens,Softwood,12%,0.4,10800,1.66,8.4,25,5540,550,1290,350,530
"Spruce, Sitka",Picea,sitchensis,Picea sitchensis,Softwood,Green,0.37,5700,1.23,6.3,24,2670,280,760,250,350
"Spruce, Sitka",Picea,sitchensis,Picea sitchensis,Softwood,12%,0.4,10200,1.57,9.4,25,5610,580,1150,370,510
"Spruce, White",Picea,glauca,Picea glauca,Softwood,Green,0.33,5000,1.14,6,22,2350,210,640,220,270
"Spruce, White",Picea,glauca,Picea glauca,Softwood,12%,0.36,9400,1.43,7.7,20,5180,430,970,360,410
Tamarack,Larix,laricina,Larix laricina,Softwood,Green,0.49,7200,1.24,7.2,28,3480,390,860,260,380
Tamarack,Larix,laricina,Larix laricina,Softwood,12%,0.53,11600,1.64,7.1,23,7160,800,1280,400,590
