common_species_name,genus,species,scientific_name,classification,moisture,Specific_gravity,modulus_of_rupture,modulus_of_elasticity,work_to_maximum_load,impact_bending,compression_parallel_to_grain,compression_perpendicular_to_grain,shear_parallel_to_grain,tension_perpendicular_to_grain,strength
"Elm, Rock",Ulmus,thomasii,Ulmus thomasii,Hardwood,Green,0.57,9500,1.19,19.8,54,3780,610,1270,,940
"Elm, Rock",Ulmus,thomasii,Ulmus thomasii,Hardwood,12%,0.63,14800,1.54,19.2,56,7050,1230,1920,,1320
"Elm, Slippery",Ulmus,rubra,Ulmus rubra,Hardwood,Green,0.48,8000,1.23,15.4,47,3320,420,1110,640,660
"Elm, Slippery",Ulmus,rubra,Ulmus rubra,Hardwood,12%,0.53,13000,1.49,16.9,45,6360,820,1630,530,860
Hackberry,Celtis,occidentalis,Celtis occidentalis,Hardwood,Green,0.49,6500,0.95,14.5,48,2650,400,1070,630,700
Hackberry,Celtis,occidentalis,Celtis occidentalis,Hardwood,12%,0.53,11000,1.19,12.8,43,5440,890,1590,580,880
"Hickory, Pecan, Bitternut",Carya,cordiformis,Carya cordiformis,Hardwood,Green,0.6,10300,1.4,20,66,4570,800,1240,,
"Hickory, Pecan, Bitternut",Carya,cordiformis,Carya cordiformis,Hardwood,12%,0.66,17100,1.79,18.2,66,9040,1680,,,
"Hickory, Pecan, Nutmeg",Carya,myristiciformis,Carya myristiciformis,Hardwood,Green,0.56,9100,1.29,22.8,54,3980,760,1030,,
"Hickory, Pecan, Nutmeg",Carya,myristiciformis,Carya myristiciformis,Hardwood,12%,0.6,16600,1.7,25.1,,6910,1570,,,
"Hickory, Pecan, Pecan",Carya,illinoinensis,Carya illinoinensis,Hardwood,Green,0.6,9800,1.37,14.6,53,3990,780,1480,680,1310
"Hickory, Pecan, Pecan",Carya,illinoinensis,Carya illinoinensis,Hardwood,12%,0.66,13700,1.73,13.8,44,7850,1720,2080,,1820
"Hickory, Pecan, Water",Carya,aquatica,Carya aquatica,Hardwood,Green,0.61,10700,1.56,18.8,56,4660,880,1440,,
"Hickory, Pecan, Water",Carya,aquatica,Carya aquatica,Hardwood,12%,0.62,17800,2.02,19.3,53,8600,1550,,,
"Hickory, True, Mockernut",Carya,tomentosa,Carya tomentosa,Hardwood,Green,0.64,11100,1.57,26.1,88,4480,810,1280,,1440
"Hickory, True, Mockernut",Carya,tomentosa,Carya tomentosa,Hardwood,12%,0.72,19200,2.22,22.6,77,8940,1730,1740,,1970
"Hickory, True, Pignut",Carya,glabra,Carya glabra,Hardwood,Green,0.66,11700,1.65,31.7,89,4810,920,1370,,1520
"Hickory, True, Pignut",Carya,glabra,Carya glabra,Hardwood,12%,0.75,20100,2.26,30.4,74,9190,1980,2150,,2140
"Hickory, True, Shagbark",Carya,ovata,Carya ovata,Hardwood,Green,0.64,11000,1.57,23.7,74,4580,840,1520,,1460
"Hickory, True, Shagbark",Carya,ovata,Carya ovata,Hardwood,12%,0.72,20200,2.16,25.8,67,9210,1760,2430,,1880
"Hickory, True, Shellbark",Carya,laciniosa,Carya laciniosa,Hardwood,Green,0.62,10500,1.34,29.9,104,3920,810,1190,,1670
"Hickory, True, Shellbark",Carya,laciniosa,Carya laciniosa,Hardwood,12%,0.69,18100,1.89,23.6,88,8000,1800,2110,,1810
Honey Locust,Gleditsia,triacanthos,Gleditsia triacanthos,Hardwood,Green,0.6,10200,1.29,12.6,47,4420,1150,1660,930,1390
Honey Locust,Gleditsia,triacanthos,Gleditsia triacanthos,Hardwood,12%,,14700,1.63,13.3,47,7500,1840,2250,900,1580
"Locust, Black",Robinia,pseudoacacia,Robinia pseudoacacia,Hardwood,Green,0.66,13800,1.85,15.4,44,6800,1160,1760,770,1570
"Locust, Black",Robinia,pseudoacacia,Robinia pseudoacacia,Hardwood,12%,0.69,19400,2.05,18.4,57,10180,1830,2480,640,1700
"Magnolia, Cucumbertree",Magnolia,acuminata,Magnolia acuminata,Hardwood,Green,0.44,7400,1.56,10,30,3140,330,990,440,520
"Magnolia, Cucumbertree",Magnolia,acuminata,Magnolia acuminata,Hardwood,12%,0.48,12300,1.82,12.2,35,6310,570,1340,660,700
"Magnolia, Southern",Magnolia,grandiflora,Magnolia grandiflora,Hardwood,Green,0.46,6800,1.11,15.4,54,2700,460,1040,610,740
"Magnolia, Southern",Magnolia,grandiflora,Magnolia grandiflora,Hardwood,12%,0.5,11200,1.4,12.8,29,5460,860,1530,740,1020
"Maple, Bigleaf",Acer,macrophyllum,Acer macrophyllum,Hardwood,Green,0.44,7400,1.1,8.7,23,3240,450,1110,600,620
"Maple, Bigleaf",Acer,macrophyllum,Acer macrophyllum,Hardwood,12%,0.48,10700,1.45,7.8,28,5950,750,1730,540,850
"Maple, Black",Acer,nigrum,Acer nigrum,Hardwood,Green,0.52,7900,1.33,12.8,48,3270,600,1130,720,840
"Maple, Black",Acer,nigrum,Acer nigrum,Hardwood,12%,0.57,13300,1.62,12.5,40,6680,1020,1820,670,1180
"Maple, Red",Acer,rubrum,Acer rubrum,Hardwood,Green,0.49,7700,1.39,11.4,32,3280,400,1150,,700
"Maple, Red",Acer,rubrum,Acer rubrum,Hardwood,12%,0.54,13400,1.64,12.5,32,6540,1000,1850,,950
"Maple, Silver",Acer,saccharinum,Acer saccharinum,Hardwood,Green,0.44,5800,0.94,11,29,2490,370,1050,560,590
"Maple, Silver",Acer,saccharinum,Acer saccharinum,Hardwood,12%,0.47,8900,1.14,8.3,25,5220,740,1480,500,700
"Maple, Sugar",Acer,saccharum,Acer saccharum,Hardwood,Green,0.56,9400,1.55,13.3,40,4020,640,1460,,970
"Maple, Sugar",Acer,saccharum,Acer saccharum,Hardwood,12%,0.63,15800,1.83,16.5,39,7830,1470,2330,,1450
"Oak, Red, Black",Quercus,velutina,Quercus velutina,Hardwood,Green,0.56,8200,1.18,12.2,40,3470,710,1220,,1060
"Oak, Red, Black",Quercus,velutina,Quercus velutina,Hardwood,12%,0.61,13900,1.64,13.7,41,6520,930,1910,,1210
"Oak, Red, Cherrybark",Quercus,pagoda,Quercus pagoda,Hardwood,Green,0.61,10800,1.79,14.7,54,4620,760,1320,800,1240
"Oak, Red, Cherrybark",Quercus,pagoda,Quercus pagoda,Hardwood,12%,0.68,18100,2.28,18.3,49,8740,1250,2000,840,1480
"Oak, Red, Laurel",Quercus,laurifolia,Quercus laurifolia,Hardwood,Green,0.56,7900,1.39,11.2,39,3170,570,1180,770,1000
"Oak, Red, Laurel",Quercus,laurifolia,Quercus laurifolia,Hardwood,12%,0.63,12600,1.69,11.8,39,6980,1060,1830,790,1210
"Oak, Red, Northern Red",Quercus,rubra,Quercus rubra,Hardwood,Green,0.56,8300,1.35,13.2,44,3440,610,1210,750,1000
"Oak, Red, Northern Red",Quercus,rubra,Quercus rubra,Hardwood,12%,0.63,14300,1.82,14.5,43,6760,1010,1780,800,1290
"Oak, Red, Pin",Quercus,palustris,Quercus palustris,Hardwood,Green,0.58,8300,1.32,14,48,3680,720,1290,800,1070
"Oak, Red, Pin",Quercus,palustris,Quercus palustris,Hardwood,12%,0.63,14000,1.73,14.8,45,6820,1020,2080,1050,1510
"Oak, Red, Scarlet",Quercus,coccinea,Quercus coccinea,Hardwood,Green,0.6,10400,1.48,15,54,4090,830,1410,700,1200
"Oak, Red, Scarlet",Quercus,coccinea,Quercus coccinea,Hardwood,12%,0.67,17400,1.91,20.5,53,8330,1120,1890,870,1400
"Oak, Red, Southern Red",Quercus,falcata,Quercus falcata,Hardwood,Green,0.52,6900,1.14,8,29,3030,550,930,480,860
"Oak, Red, Southern Red",Quercus,falcata,Quercus falcata,Hardwood,12%,0.59,10900,1.49,9.4,26,6090,870,1390,510,1060
"Oak, Red, Water",Quercus,nigra,Quercus nigra,Hardwood,Green,0.56,8900,1.55,11.1,39,3740,620,1240,820,1010
"Oak, Red, Water",Quercus,nigra,Quercus nigra,Hardwood,12%,0.63,15400,2.02,21.5,44,6770,1020,2020,920,1190
"Oak, Red, Willow",Quercus,phellos,Quercus phellos,Hardwood,Green,0.56,7400,1.29,8.8,35,3000,610,1180,760,980
"Oak, Red, Willow",Quercus,phellos,Quercus phellos,Hardwood,12%,0.69,14500,1.9,14.6,42,7040,1130,1650,,1460
"Oak, White, Bur",Quercus,macrocarpa,Quercus macrocarpa,Hardwood,Green,0.58,7200,0.88,10.7,44,3290,680,1350,800,1110
"Oak, White, Bur",Quercus,macrocarpa,Quercus macrocarpa,Hardwood,12%,0.64,10300,1.03,9.8,29,6060,1200,1820,680,1370
"Oak, White, Chestnut",Quercus,montana,Quercus montana,Hardwood,Green,0.57,8000,1.37,9.4,35,3520,530,1210,690,890
"Oak, White, Chestnut",Quercus,montana,Quercus montana,Hardwood,12%,0.66,13300,1.59,11,40,6830,840,1490,,1130
"Oak, White, Live",Quercus,virginiana,Quercus virginiana,Hardwood,Green,0.8,11900,1.58,12.3,,5430,2040,2210,,
"Oak, White, Live",Quercus,virginiana,Quercus virginiana,Hardwood,12%,0.88,18400,1.98,18.9,,8900,2840,2660,,
"Oak, White, Overcup",Quercus,lyrata,Quercus lyrata,Hardwood,Green,0.57,8000,1.15,12.6,44,3370,540,1320,730,960
"Oak, White, Overcup",Quercus,lyrata,Quercus lyrata,Hardwood,12%,0.63,12600,1.42,15.7,38,6200,810,2000,940,1190
"Oak, White, Post",Quercus,stellata,Quercus stellata,Hardwood,Green,0.6,8100,1.09,11,44,3480,860,1280,790,1130
"Oak, White, Post",Quercus,stellata,Quercus stellata,Hardwood,12%,0.67,13200,1.51,13.2,46,6600,1430,1840,780,1360
"Oak, White, Swamp Chestnut",Quercus,michauxii,Quercus michauxii,Hardwood,Green,0.6,8500,1.35,12.8,45,3540,570,1260,670,1110
"Oak, White, Swamp Chestnut",Quercus,michauxii,Quercus michauxii,Hardwood,12%,0.67,13900,1.77,12,41,7270,1110,1990,690,1240
"Oak, White, Swamp White",Quercus,bicolor,Quercus bicolor,Hardwood,Green,0.64,9900,1.59,14.5,50,4360,760,1300,860,1160
"Oak, White, Swamp White",Quercus,bicolor,Quercus bicolor,Hardwood,12%,0.72,17700,2.05,19.2,49,8600,1190,2000,830,1620
"Oak, White, White",Quercus,alba,Quercus alba,Hardwood,Green,0.6,8300,1.25,11.6,42,3560,670,1250,770,1060
"Oak, White, White",Quercus,alba,Quercus alba,Hardwood,12%,0.68,15200,1.78,14.8,37,7440,1070,2000,800,1360
Sassafras,Sassafras,albidum,Sassafras albidum,Hardwood,Green,0.42,6000,0.91,7.1,,2730,370,950,,
Sassafras,Sassafras,albidum,Sassafras albidum,Hardwood,12%,0.46,9000,1.12,8.7,,4760,850,1240,,
Sweetgum,Liquidambar,styraciflua,Liquidambar styraciflua,Hardwood,Green,0.46,7100,1.2,10.1,36,3040,370,990,540,600
Sweetgum,Liquidambar,styraciflua,Liquidambar styraciflua,Hardwood,12%,0.52,12500,1.64,11.9,32,6320,620,1600,760,850
"Sycamore, American",Platanus,occidentalis,Platanus occidentalis,Hardwood,Green,0.46,6500,1.06,7.5,26,2920,360,1000,630,610
"Sycamore, American",Platanus,occidentalis,Platanus occidentalis,Hardwood,12%,0.49,10000,1.42,8.5,26,5380,700,1470,720,770
Tanoak,Notholithocarpus,densiflorus,Notholithocarpus densiflorus,Hardwood,Green,0.58,10500,1.55,13.4,,4650,,,,
Tanoak,Notholithocarpus,densiflorus,Notholithocarpus densiflorus,Hardwood,12%,,,,,,,,,,
"Tupelo, Black",Nyssa,sylvatica,Nyssa sylvatica,Hardwood,Green,0.46,7000,1.03,8,30,3040,480,1100,570,640
"Tupelo, Black",Nyssa,sylvatica,Nyssa sylvatica,Hardwood,12%,0.5,9600,1.2,6.2,22,5520,930,1340,500,810
"Tupelo, Water",Nyssa,aquatica,Nyssa aquatica,Hardwood,Green,0.46,7300,1.05,8.3,30,3370,480,1190,600,710
"Tupelo, Water",Nyssa,aquatica,Nyssa aquatica,Hardwood,12%,0.5,9600,1.26,6.9,23,5920,870,1590,700,880
"Walnut, Black",Juglans,nigra,Juglans nigra,Hardwood,Green,0.51,9500,1.42,14.6,37,4300,490,1220,570,900
"Walnut, Black",Juglans,nigra,Juglans nigra,Hardwood,12%,0.55,14600,1.68,10.7,34,7580,1010,1370,690,1010
"Willow, Black",Salix,nigra,Salix nigra,Hardwood,Green,0.36,4800,0.79,11,,2040,180,680,,
"Willow, Black",Salix,nigra,Salix nigra,Hardwood,12%,0.39,7800,1.01,8.8,,4100,430,1250,,
Yellow Poplar,Liriodendron,tulipifera,Liriodendron tulipifera,Hardwood,Green,0.4,6000,1.22,7.5,26,2660,270,790,510,440
Yellow Poplar,Liriodendron,tulipifera,Liriodendron tulipifera,Hardwood,12%,0.42,10100,1.58,8.8,24,5540,500,1190,540,540
Bald Cypress,Taxodium,distichum,Taxodium distichum,Softwood,Green,0.42,6600,1.18,6.6,25,3580,400,810,300,390
Bald Cypress,Taxodium,distichum,Taxodium distichum,Softwood,12%,0.46,10600,1.44,8.2,24,6360,730,1000,270,510
"Cedar, Atlantic White",Chamaecyparis,thyoides,Chamaecyparis thyoides,Softwood,Green,0.31,4700,0.75,5.9,18,2390,240,690,180,290
"Cedar, Atlantic White",Chamaecyparis,thyoides,Chamaecyparis thyoides,Softwood,12%,0.32,6800,0.93,4.1,13,4700,410,800,220,350
"Cedar, Eastern Red Cedar",Juniperus,virginiana,Juniperus virginiana,Softwood,Green,0.44,7000,0.65,15,35,3570,700,1010,330,650
"Cedar, Eastern Red Cedar",Juniperus,virginiana,Juniperus virginiana,Softwood,12%,0.47,8800,0.88,8.3,22,6020,920,,,
"Cedar, Incense",Calocedrus,decurrens,Calocedrus decurrens,Softwood,Green,0.35,6200,0.84,6.4,17,3150,370,830,280,390
